area	company	pay
영등포구	파워스크린	6500
금천구	대성글로벌네트웍㈜	7500
강남구	㈜씨에스피푸드 르사이공 코엑스점	8000
서대문구	ININSPACE	30000
마포구	빈티지산타	6100
강남구	맥도날드 한티역점	7200
강서구	아모제푸드㈜-엘레나키친	6830
용산구	FEASTANDFETES	7000
영등포구	이닌스페이스	30000
강남구	강남스크린골프	7500
성동구	오마이데이터	7000
영등포구	파워스크린	6500
금천구	대성글로벌네트웍㈜	7500
강남구	㈜씨에스피푸드 르사이공 코엑스점	8000
서대문구	ININSPACE	30000
강남구	맥도날드 한티역점	7200
강서구	아모제푸드㈜-엘레나키친	6830
마포구	우리교육미디어	10000
중랑구	㈜기지에너지	6200
성동구	우리은행	7100
강동구	님도셰프	8000
종로구	공차 동묘점	6100
강남구	몰입어학원	7100
동대문구	㈜러쉬코리아	7300
강남구	따리bar	8000
마포구	MISSHA	6300
강남구	라이라이	7000
성동구	카페아모제 현대압구정점	7597
강북구	아모제푸드㈜/케이텍 맨파워㈜	6030
강남구	케이텍 맨파워㈜	7597
강서구	아모제푸드㈜-엘레나키친	6830
강서구	아모제푸드㈜-엘레나키친	6830
중구	카페아모제 롯데백화점 을지로입구 명동점	7597
강남구	케이텍 맨파워㈜	7597
성동구	스쿨스토어 뉴 왕십리점	10000
구로구	VIVID	25000
관악구	VIVID	25000
관악구	베리베리 서울대입구역점	6500
강동구	아모제푸드㈜/엘레나가든 강동점	6700
영등포구	VIVID	25000
마포구	VIVID	25000
영등포구	㈜ENMPLUS 키즈앤키즈	7240
강서구	VIVID	25000
마포구	크루즈Bar	25000
마포구	플로듀	6100
광진구	강평주유소	6500
송파구	분식의 신	6800
서초구	하나서비스	11000
중구	중국어통역	8000
서초구	COFFEE 829	6500
관악구	SK텔레콤	6500
중구	J스포츠클럽	6200
강남구	힐링가든	6300
중구	SK텔레콤	6500
강남구	도모다찌	6700
강남구	PEERS BAR	35000
관악구	EMERGENCY	15000
서초구	대성석유㈜연일주유소	6300
광진구	몬스터주스	6300
양천구	S 키친	7500
광진구	겐로쿠우동	6300
성동구	㈜큐오스	7000
관악구	블루칩BAR	9000
서초구	디앤드엔코리아㈜	7500
중구	㈜큐오스	7000
동작구	애플포니	6500
영등포구	카페 빅스케일 (국회의사당역)	6500
영등포구	㈜케이앤씨체인본부	8500
강남구	비비라인의원	8000
종로구	㈜커리어휴먼	6500
